sky_index,NAXIS,NAXIS1,NAXIS2,CTYPE1,CTYPE2,CRVAL1,CRVAL2,CRPIX1,CRPIX2,CD1_1,CD1_2,CD2_1,CD2_2
1,2,9576,6388,RA---TAN,DEC--TAN,180.0,90.0,4788.0,3194.0,8.405467458805678e-05,0.0,0.0,8.405467458805678e-05
2,2,9576,6388,RA---TAN,DEC--TAN,317.50776405003785,89.73152867338793,4788.0,3194.0,8.405467458805678e-05,0.0,0.0,8.405467458805678e-05
3,2,9576,6388,RA---TAN,DEC--TAN,95.01552810007568,89.62032386145833,4788.0,3194.0,8.405467458805678e-05,0.0,0.0,8.405467458805678e-05
4,2,9576,6388,RA---TAN,DEC--TAN,232.5232921501135,89.53499317112649,4788.0,3194.0,8.405467458805678e-05,0.0,0.0,8.405467458805678e-05
5,2,9576,6388,RA---TAN,DEC--TAN,10.031056200151369,89.46305587313233,4788.0,3194.0,8.405467458805678e-05,0.0,0.0,8.405467458805678e-05
6,2,9576,6388,RA---TAN,DEC--TAN,147.53882025018922,89.39967766690197,4788.0,3194.0,8.405467458805678e-05,0.0,0.0,8.405467458805678e-05
7,2,9576,6388,RA---TAN,DEC--TAN,285.046584300227,89.34237923115494,4788.0,3194.0,8.405467458805678e-05,0.0,0.0,8.405467458805678e-05
8,2,9576,6388,RA---TAN,DEC--TAN,62.554348350264945,89.28968773670891,4788.0,3194.0,8.405467458805678e-05,0.0,0.0,8.405467458805678e-05
9,2,9576,6388,RA---TAN,DEC--TAN,200.0621124003027,89.24064355476894,4788.0,3194.0,8.405467458805678e-05,0.0,0.0,8.405467458805678e-05
